order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,Hour,Minute,Day,Day_Of_Week,Month,Week,Year
1961864118,30065862,2024-07-17 08:34:00,17-07-2024 08:52,17-07-2024 08:47,On Time,3197.07,Cash,63230,4771,8,34,Wednesday,2,7,5,2024
1549769649,9573071,2024-05-28 13:14:00,28-05-2024 13:25,28-05-2024 13:27,On Time,976.55,Cash,14983,7534,13,14,Tuesday,1,5,4,2024
9185164487,45477575,2024-09-23 13:07:00,23-09-2024 13:25,23-09-2024 13:29,On Time,839.05,UPI,39859,9886,13,7,Monday,0,9,6,2024
9644738826,88067569,2023-11-24 16:16:00,24-11-2023 16:34,24-11-2023 16:33,On Time,440.23,Card,61497,7917,16,16,Friday,4,11,7,2023
5427684290,83298567,2023-11-20 05:00:00,20-11-2023 05:17,20-11-2023 05:18,On Time,2526.68,Cash,84315,2741,5,0,Monday,0,11,7,2023
3265154092,43367112,2023-03-18 16:29:00,18-03-2023 16:49,18-03-2023 16:48,On Time,3161.43,UPI,554,3442,16,29,Saturday,5,3,2,2023
4898355547,13284996,2023-04-16 18:50:00,16-04-2023 19:01,16-04-2023 19:02,On Time,956.4,Card,14630,1318,18,50,Sunday,6,4,3,2023
6568151549,88866835,2024-03-31 06:26:00,31-03-2024 06:37,31-03-2024 06:39,On Time,905.47,Cash,67714,115,6,26,Sunday,6,3,2,2024
6006693867,24496983,2023-07-13 23:49:00,14-07-2023 00:02,14-07-2023 00:05,On Time,1371.17,Card,91362,9021,23,49,Thursday,3,7,4,2023
374186990,52215833,2023-08-09 01:17:00,09-08-2023 01:37,09-08-2023 01:44,Slightly Delayed,1601.19,Wallet,77203,7955,1,17,Wednesday,2,8,5,2023
4455336265,43431724,2023-08-30 19:37:00,30-08-2023 19:47,30-08-2023 19:45,On Time,2362.33,UPI,64046,3784,19,37,Wednesday,2,8,5,2023
3539286337,77559557,2023-04-25 20:32:00,25-04-2023 20:44,25-04-2023 20:39,On Time,1463.8,Wallet,94899,2463,20,32,Tuesday,1,4,3,2023
9171116867,87107263,2023-10-22 11:15:00,22-10-2023 11:25,22-10-2023 11:37,Slightly Delayed,822.63,Card,73907,6899,11,15,Sunday,6,10,6,2023
5504941865,76512976,2024-01-28 02:39:00,28-01-2024 02:55,28-01-2024 03:06,Slightly Delayed,2287.68,Wallet,56077,9809,2,39,Sunday,6,1,1,2024
5868326481,37556526,2024-03-15 21:07:00,15-03-2024 21:24,15-03-2024 21:21,On Time,1962.35,Wallet,94140,3106,21,7,Friday,4,3,2,2024
2137046916,12059049,2024-02-03 08:50:00,03-02-2024 09:03,03-02-2024 09:01,On Time,3373.96,UPI,12377,1007,8,50,Saturday,5,2,1,2024
8195544338,26199489,2023-04-26 04:03:00,26-04-2023 04:20,26-04-2023 04:28,Slightly Delayed,845.71,Wallet,102,3809,4,3,Wednesday,2,4,3,2023
2889700050,84848018,2024-04-30 16:22:00,30-04-2024 16:33,30-04-2024 16:36,On Time,2706.54,Wallet,45032,78,16,22,Tuesday,1,4,3,2024
65827885,47577193,2023-07-27 00:13:00,27-07-2023 00:25,27-07-2023 00:20,On Time,1132.98,Cash,1108,3817,0,13,Thursday,3,7,5,2023
4656471694,60728956,2023-12-09 08:08:00,09-12-2023 08:27,09-12-2023 08:35,Slightly Delayed,1525.5,Cash,62782,5739,8,8,Saturday,5,12,7,2023
6625178717,62068277,2023-07-01 04:24:00,01-07-2023 04:40,01-07-2023 04:53,Slightly Delayed,5718.09,Card,74906,2130,4,24,Saturday,5,7,4,2023
7169557514,84824280,2023-03-21 05:27:00,21-03-2023 05:38,21-03-2023 05:50,Slightly Delayed,2970.9,Card,79516,9535,5,27,Tuesday,1,3,2,2023
